Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Allegany County,2035,Non-Hisp Other Female,130,126,104,169,175,207,124,102,77,68,64,46,53,23,24,17,15,9,1533
Worcester County,2025,Total Female,1213,1164,1377,1343,1246,1326,1316,1428,1449,1417,1637,2198,2839,2658,2090,1811,1268,1177,28957
Cecil County,2040,Non-Hisp White Female,3251,3364,3001,2791,2651,3066,3563,3266,2538,2421,2809,2676,2874,3073,3270,3216,2627,3007,53464
Allegany County,2025,Non-Hisp Black Male,47,52,53,313,710,726,955,806,528,312,266,187,167,34,28,17,18,5,5224
Worcester County,2035,Non-Hisp White Male,886,1011,1230,1125,1003,973,999,967,1090,1256,1395,1431,1847,2073,2038,1476,999,987,22786
Dorchester Co,2025,Non-Hisp White Female,460,554,574,474,496,430,604,564,670,665,770,835,976,959,781,613,438,408,11271
Dorchester Co,2045,Non-Hisp Other Male,59,71,75,73,40,45,38,76,51,43,30,27,25,24,20,18,5,1,721
Baltimore City,2010,Non-Hisp Other Female,1302,835,708,1101,2116,2127,1509,1043,775,687,647,532,430,345,248,176,126,129,14836
State of Maryland,2045,Non-Hisp White Male,71915,71279,73827,79288,82363,85131,82730,81610,86282,87895,93505,92112,80963,65323,60874,62566,58078,69537,1385278
Prince George's County,2025,Total Non-Hispanic White,5648,4795,4171,7167,9932,7913,9480,8298,5984,5128,4881,5742,7676,8425,7480,5828,3787,4209,116544
Somerset County,2015,Non-Hisp Other Male,40,55,38,36,56,22,15,18,23,21,22,28,21,18,6,5,5,2,431
Montgomery County,2030,Non-Hisp White Female,8893,9679,9788,7940,5690,7639,9539,12333,14434,12811,10783,11129,12756,13666,13369,12530,10083,10931,193993
Charles County,2020,Total Non-Hispanic White,3150,3029,3075,3303,3556,3764,3526,3544,3163,3676,5017,6001,5470,4309,3584,2582,1413,1302,63464
Cecil County,2015,Total Male,2691,3524,3713,3506,3050,3233,2994,2923,3235,3927,4329,3964,3322,2653,1692,1048,658,584,51046
State of Maryland,2035,Non-Hisp White Female,69830,71537,72729,73506,71347,76662,84325,87886,93531,94473,87478,77448,81549,93832,102409,92670,71752,87123,1490087
Anne Arundel County,2015,Total Male,18001,17968,18046,18429,19856,19458,20506,17537,17520,19133,21394,19690,15970,13320,9131,5509,3534,2999,278001
Montgomery County,2010,Total Male,32737,32483,32934,31127,27294,32506,31640,32704,34052,36658,35895,30881,25027,16911,11530,8728,6885,6410,466402
Baltimore City,2030,Total Hispanic,1876,1968,2370,3611,2562,1660,955,1600,3151,3899,3188,2243,1479,830,541,222,51,10,32216
Frederick County,2045,Total Non-Hispanic White,10252,10940,11947,12156,11212,10717,10297,12101,16136,15350,13562,11201,9819,8242,8812,10448,11205,16420,210817
Montgomery County,2010,Total Non-Hispanic White,23476,26679,28283,25361,21244,26821,25236,27301,33059,40264,43266,41012,34051,23605,16239,14026,13118,15724,478765
St. Mary's County,2035,Non-Hisp White Female,3251,3216,3104,2862,2679,2918,3435,3501,3752,3590,3253,2744,2669,2816,2827,2418,1671,1610,52316
State of Maryland,2025,Total Male,195982,187807,193693,203575,198340,197012,216082,216501,204415,182875,179255,189735,196978,168672,126283,93807,55548,48725,3055285
Talbot County,2030,Hispanic Female,179,170,153,168,128,101,76,72,89,103,101,75,58,42,29,14,2,2,1562
Washington County,2010,Total Female,4466,4526,4705,4446,4042,4269,4136,4644,5226,5731,5321,4766,4204,3237,2604,2244,1882,2104,72553
Charles County,2010,Total Male,4825,5294,5969,5873,4441,4163,3972,4745,5923,6437,5565,4178,3401,2465,1569,1001,592,397,70810
Dorchester Co,2010,Total Male,1016,954,979,1018,867,872,789,870,1012,1231,1282,1118,1071,834,642,467,326,223,15571
Queen Anne's County,2015,Total,2357,3009,3408,3037,2086,2311,2525,2442,3105,3934,4368,4120,3335,2964,2367,1525,884,875,48652
Garrett County,2030,Hispanic Female,23,20,27,34,16,6,7,14,10,15,21,22,19,3,6,6,6,2,257
Charles County,2030,Non-Hisp Other Female,823,693,628,511,704,801,849,719,560,566,566,532,523,452,343,264,175,35,9744
Somerset County,2025,Non-Hisp Other Male,68,74,39,49,81,24,31,30,21,26,29,33,24,29,9,8,6,6,587
Anne Arundel County,2045,Total Male,20475,20034,19635,20119,20715,19438,20484,20426,19659,19071,19705,19454,18445,14345,12455,11017,9013,8419,312909
Allegany County,2040,Total Non-Hispanic Black,150,108,129,762,1079,933,1020,889,646,607,558,307,212,99,58,87,52,124,7820
Anne Arundel County,2040,Total Male,19752,19216,19066,19427,19626,19087,20133,19575,19375,19877,20010,19383,15451,14206,13348,12028,8339,7250,305149
Kent County,2045,Non-Hisp White Male,284,364,343,460,456,320,312,371,423,421,612,737,694,714,623,667,586,453,8840
Charles County,2045,Total Non-Hispanic White,2177,2131,2184,2362,2357,2345,2375,2233,2388,2732,2919,2752,2762,2385,2524,2949,2800,2999,45374
Harford County,2015,Non-Hisp Other Female,603,820,810,684,443,405,515,535,518,429,442,378,292,245,171,111,65,35,7501
Charles County,2015,Total Male,4990,5148,5900,6165,5053,4522,4328,4144,4954,6082,6404,5367,3956,3050,2172,1269,735,478,74717
Talbot County,2010,Non-Hisp Black Female,138,146,134,161,153,133,121,127,164,200,224,219,160,160,113,85,60,74,2572
Howard County,2035,Total,20747,22800,24739,23093,19112,19883,22210,25277,26826,23824,23123,20367,19438,19282,19173,16366,12031,11212,369503
Cecil County,2010,Non-Hisp White Male,2599,2879,3145,3178,2600,2390,2433,2761,3361,3817,3572,3151,2770,1922,1249,898,557,423,43705
Carroll County,2020,Hispanic Male,293,307,288,281,265,305,306,288,207,200,194,157,112,40,24,20,6,21,3314
Caroline County,2025,Hispanic Male,220,165,144,157,141,114,112,95,97,85,83,65,23,13,9,3,1,1,1528
Dorchester Co,2040,Non-Hisp White Female,489,556,543,490,488,598,537,617,476,775,786,890,822,760,812,725,597,582,11543
Garrett County,2040,Total,1603,1712,1824,1899,1600,1402,1609,1906,2054,1874,1830,1993,1905,1961,1884,1760,1320,1321,31457
Baltimore County,2020,Total Non-Hispanic White,20947,21941,22272,25322,26573,27101,27130,26864,24430,24469,29452,36195,38665,33206,26738,17834,12368,19699,461206
Howard County,2045,Total,19327,20466,22531,22869,20251,21720,21567,21191,23034,25280,26058,22571,21570,18517,16592,16239,15113,17465,372361
Garrett County,2040,Hispanic Female,41,29,21,24,38,19,10,9,11,18,14,24,33,12,7,5,7,3,325
Allegany County,2010,Non-Hisp White Female,1449,1566,1681,2308,2406,1771,1590,1830,1985,2402,2462,2310,2318,1905,1646,1432,1279,1300,33640
Worcester County,2025,Hispanic Male,84,77,89,101,115,71,91,117,119,105,76,67,49,23,20,15,11,13,1243
Kent County,2010,Total Female,514,471,440,772,877,486,422,447,589,699,848,770,775,732,455,383,430,447,10557
Prince George's County,2040,Non-Hisp Other Female,2332,2015,1908,3145,2789,2536,2579,2670,2652,2833,2730,2493,2487,1924,1424,1227,838,741,39323
Caroline County,2020,Non-Hisp Other Male,15,17,97,81,33,29,30,25,22,11,17,16,15,15,8,5,2,2,440
Baltimore County,2040,Total Male,26022,25809,25864,27923,26739,25607,25603,24819,24906,26283,26111,24072,21946,19868,18516,16502,12411,12071,411072
Anne Arundel County,2025,Non-Hisp Other Female,1717,1569,1629,2467,2191,1981,1700,1575,1765,1755,1587,1307,1277,1082,890,562,376,124,25554
Charles County,2040,Non-Hisp White Male,1095,1117,1228,1223,1290,1287,1165,1261,1462,1509,1442,1458,1267,1314,1640,1677,1224,970,23629
Talbot County,2040,Non-Hisp White Female,554,689,700,614,491,538,630,805,902,965,1017,1081,997,1329,1364,1500,1202,1539,16917
Garrett County,2015,Hispanic Male,22,20,16,17,14,8,11,10,13,11,5,0,3,2,1,2,4,2,161
Talbot County,2035,Total Non_Hispanic Other,117,108,96,70,46,161,136,115,108,63,83,47,32,30,21,19,19,30,1301
Carroll County,2020,Non-Hisp White Female,3373,3670,4113,4575,3845,3609,4166,4190,3626,4689,6233,7016,6063,5193,4402,3166,2105,2848,76882
Baltimore City,2015,Hispanic Male,1768,1477,1005,807,1134,1904,2284,1875,1398,1031,749,474,297,159,123,56,14,28,16583
Washington County,2020,Total Non-Hispanic Black,1350,1203,1174,1436,1852,1964,1574,1415,1479,1316,1196,1111,883,445,182,111,68,28,18787
Queen Anne's County,2030,Hispanic Male,130,114,98,95,95,80,59,66,89,99,71,68,51,41,10,5,4,6,1181
Carroll County,2015,Hispanic Female,232,248,256,240,203,167,183,147,168,160,148,97,56,37,17,17,21,15,2412
Prince George's County,2030,Hispanic Male,7241,6979,6786,8114,6696,7296,5985,7598,8933,9593,8986,6903,5168,3510,1336,813,312,80,102329
Baltimore City,2020,Non-Hisp Other Female,1025,784,986,1458,1604,1409,1917,1763,1419,1112,800,686,640,530,422,280,154,98,17087
Baltimore City,2015,Total Non_Hispanic Other,1958,1883,1571,2342,2917,3834,3669,2551,2059,1530,1366,1234,992,741,505,312,165,122,29751
Garrett County,2030,Non-Hisp Black Male,9,8,8,100,10,7,9,24,8,1,2,4,4,2,3,3,0,1,203
Somerset County,2045,Non-Hisp Other Female,38,52,64,62,110,43,34,61,46,38,38,23,11,9,8,8,5,3,653
Frederick County,2015,Total Non-Hispanic White,9276,9523,11241,12304,11111,10657,10569,9942,11483,14388,16613,15189,12436,10164,6704,4667,3479,4534,184280
Frederick County,2010,Total Female,7239,7917,8414,8139,6532,6859,7062,8190,9595,10517,9405,7651,6277,4365,3021,2550,2227,2619,118579
Wicomico County,2010,Hispanic Female,299,191,144,205,214,219,185,137,98,95,67,48,23,25,10,19,5,7,1991
Cecil County,2045,Hispanic Female,356,363,340,332,323,273,283,377,290,273,257,176,191,173,100,81,42,23,4253
Somerset County,2020,Hispanic Male,70,70,57,45,33,29,38,41,37,21,16,7,5,1,1,0,0,4,475
Howard County,2040,Non-Hisp Black Female,2913,3216,3593,3324,2393,2701,3130,3473,3972,4260,3862,3337,2790,2424,2236,2006,1326,1123,52079
Garrett County,2025,Total Male,748,743,840,1043,888,832,832,813,894,860,925,1082,1226,1180,904,658,405,292,15165
Allegany County,2030,Hispanic Male,29,24,18,82,99,105,97,75,112,96,83,55,24,20,14,6,5,2,946
Queen Anne's County,2020,Non-Hisp Black Male,75,69,115,98,106,112,98,98,117,107,89,127,161,172,93,57,23,24,1741
Baltimore City,2045,Total Female,18545,17060,16325,20029,23925,26580,23346,21525,20460,18767,22088,22945,20115,15215,12068,10606,9792,11056,330447
Howard County,2045,Non-Hisp Other Male,3450,3517,3543,3628,3814,4131,4435,4258,4039,3873,3833,3463,3450,3179,2974,2360,1851,1382,61180
Howard County,2030,Total Non-Hispanic White,6642,7285,7822,6060,3983,6776,9055,10661,9095,8303,7235,7963,9628,11690,10844,9550,7110,5600,145302
Prince George's County,2010,Total Non_Hispanic Other,4383,3803,3560,5086,5670,5024,4378,3947,3587,3464,3525,3294,2774,1816,1211,799,469,366,57156
Talbot County,2015,Hispanic Female,172,132,97,63,64,88,112,98,66,56,43,34,19,16,15,12,1,4,1092
Dorchester Co,2010,Total Non-Hisp Other,177,111,87,62,49,65,46,53,45,53,63,48,39,27,22,12,7,4,970
Washington County,2025,Total Hispanic,1013,906,1010,1067,945,798,677,589,616,610,515,494,368,263,147,59,35,9,10121
Somerset County,2015,Non-Hisp Other Female,30,51,36,52,63,26,18,15,16,15,24,22,8,12,11,10,3,2,414
State of Maryland,2035,Total Non-Hispanic White,142988,146519,149674,150209,146171,155313,171173,178926,191239,191588,175485,152731,156663,177420,190775,167408,124211,138517,2907010
Worcester County,2040,Non-Hisp Other Female,107,150,168,200,56,73,63,69,56,48,56,64,74,77,63,41,39,16,1420
Somerset County,2020,Total Non-Hispanic White,543,483,486,612,652,677,707,803,783,842,869,1157,1267,1084,864,629,364,345,13167
Harford County,2025,Total Non-Hispanic Black,2792,2661,2796,3026,2378,2476,2801,2661,2426,2368,2601,2741,2506,1936,1259,653,353,311,38745
Baltimore County,2030,Non-Hisp Other Male,3359,3336,3305,3778,4434,3694,3278,3030,2830,2660,2707,2621,2098,1728,1434,976,568,264,46100
Cecil County,2010,Non-Hisp Black Male,234,243,310,291,184,184,187,198,254,260,254,161,138,88,58,36,31,24,3135
Kent County,2015,Total Non_Hispanic Other,26,75,66,77,66,24,25,20,15,18,26,28,22,24,14,4,2,3,535
Cecil County,2035,Non-Hisp White Female,3020,3016,2634,2355,2459,3574,3291,2551,2455,2573,2581,2795,3234,3560,3379,2979,2190,2342,50988
Somerset County,2030,Total Non-Hispanic Black,708,594,552,1544,2769,1270,957,976,580,513,509,439,406,483,354,217,175,136,13182
Queen Anne's County,2045,Non-Hisp White Male,1363,1654,1677,1521,1096,899,1193,1598,1828,1895,1501,1911,1535,1176,1193,1409,1147,1213,25809
Caroline County,2020,Total Non-Hispanic Black,274,284,395,372,250,241,241,268,293,286,342,378,399,302,233,121,77,79,4835
Garrett County,2010,Total Non-Hispanic Black,17,12,19,157,37,8,6,14,4,3,3,9,1,2,5,2,0,0,299
Frederick County,2010,Hispanic Female,938,808,799,706,625,768,794,707,616,533,377,217,159,93,65,53,36,30,8324
Cecil County,2045,Total Non_Hispanic Other,720,787,806,808,653,494,400,692,690,638,419,337,294,134,104,51,28,13,8068
Somerset County,2015,Total Male,610,559,612,1046,1852,1121,945,889,897,823,985,948,811,646,476,302,197,153,13872
Prince George's County,2030,Hispanic Female,6949,6811,6536,7896,6053,6038,4827,5499,6645,7067,6641,5065,4080,2663,1514,927,386,177,85774
Charles County,2045,Total Female,7206,7543,8143,8260,6477,6654,6812,7514,7940,8622,8463,6989,6208,5904,6370,6693,4386,4191,124375
Prince George's County,2020,Total Female,28215,27891,26987,29390,30904,35492,34690,31215,30196,30040,32015,33252,30210,25393,19734,13131,7998,9134,475887
Baltimore County,2030,Hispanic Male,2670,2703,2631,2949,2685,2292,2107,2286,2571,2596,2248,1750,1247,900,505,323,142,87,32692
St. Mary's County,2035,Non-Hisp Other Female,465,520,445,423,360,436,409,347,332,259,248,266,241,250,267,183,76,12,5539
Somerset County,2010,Non-Hisp Black Male,243,221,222,685,1235,627,497,436,452,450,357,273,172,139,82,62,42,26,6221
State of Maryland,2010,Non-Hisp Other Male,22118,20418,18247,17577,16177,16274,16694,17114,15489,14812,13452,10660,8792,6210,4586,2728,1512,994,223854
Carroll County,2015,Non-Hisp Other Male,266,345,338,285,173,153,132,103,158,173,219,155,121,66,49,21,10,7,2774
Prince George's County,2040,Hispanic Female,7044,6421,6318,6991,6305,6564,5369,5835,4739,5406,6521,6920,6458,4181,2741,1816,780,319,90728
Carroll County,2015,Total Non-Hispanic White,6752,8488,10026,10261,8349,7424,7593,7184,8906,12305,14320,12713,10198,8881,6144,4140,3107,3762,150553
Baltimore County,2010,Hispanic Female,1886,1540,1250,1261,1512,1726,1560,1329,1033,849,658,461,358,214,162,133,108,100,16140
Garrett County,2040,Non-Hisp Other Female,60,62,74,36,20,29,43,21,15,13,16,16,12,3,8,7,12,5,452
Worcester County,2020,Non-Hisp White Female,750,745,821,887,775,964,966,964,983,1176,1509,2053,2199,1934,1750,1399,889,907,21671
Caroline County,2020,Non-Hisp White Female,617,682,815,816,586,663,806,854,824,842,950,1088,998,856,733,496,271,340,13237
Kent County,2020,Non-Hisp Black Female,73,76,72,78,70,66,83,64,88,75,126,170,143,128,93,85,43,112,1645
Anne Arundel County,2045,Total,40204,39528,38602,38855,38911,39423,40767,41019,39438,38476,39031,39355,37212,30385,27325,25217,21744,22420,637912
Harford County,2030,Hispanic Female,639,703,711,762,773,625,596,531,391,446,420,352,301,269,167,131,93,26,7936
Carroll County,2025,Non-Hisp White Female,3483,3781,3675,3914,3619,3511,4211,4499,4127,3608,4617,6009,6728,6120,4919,4234,2950,3325,77330
Charles County,2010,Total Female,4613,4939,5699,5708,4242,4425,4615,5748,6802,7098,5697,4597,3730,2723,1801,1359,925,1020,75741
Anne Arundel County,2045,Hispanic Female,3258,3155,2991,2828,2670,2460,2622,2549,2259,1861,1743,1955,2005,1421,1111,794,503,251,36436
Baltimore City,2010,Non-Hisp Black Female,13920,12887,13276,16285,17033,15479,13249,11915,13686,16226,16599,13969,11068,8057,6508,5378,3998,3806,213339
Garrett County,2015,Non-Hisp Black Male,2,5,8,111,27,12,4,7,5,2,3,3,5,0,2,1,1,0,198
Harford County,2040,Non-Hisp White Female,4805,4847,4886,4836,4537,4666,5117,5773,6403,6297,5848,5486,4807,5027,5827,6169,5508,10115,100954
Dorchester Co,2035,Total Male,1106,1101,1097,1086,881,976,976,1095,1157,1259,1347,1110,1070,1138,1129,877,523,404,18332
Montgomery County,2025,Non-Hisp Other Male,7280,6998,7707,7837,6372,6721,6497,6485,6428,6745,7162,6439,6263,5162,3952,2924,2006,3697,106675
Wicomico County,2045,Non-Hisp White Male,1567,1708,1805,2567,2768,1836,1385,2090,2197,2208,2167,1927,1587,1708,1376,1263,1041,1530,32730
Allegany County,2015,Non-Hisp Other Male,71,127,129,134,130,66,53,51,39,28,37,31,29,28,23,10,5,7,998
Somerset County,2030,Non-Hisp Other Male,64,82,48,44,76,27,32,29,39,18,31,30,31,24,9,8,7,9,608
Carroll County,2030,Non-Hisp White Male,3717,4162,3993,3722,3567,3491,3937,4499,4334,3912,3345,3973,5344,5931,4872,3739,2917,2845,72300
Allegany County,2020,Total Female,1718,1867,1769,2532,3027,2659,3644,2920,2709,2207,2277,2482,2495,2187,1763,1417,861,789,39323
Anne Arundel County,2045,Non-Hisp White Female,9589,9131,8841,9206,9503,11284,10865,9748,9764,10331,10742,11335,10260,9100,9151,9554,9181,11328,178913
State of Maryland,2020,Total Non-Hispanic Black,117476,117799,125207,126803,121840,136680,132824,124451,117186,117530,126046,130122,112589,86545,63895,39519,24121,25129,1845762
Garrett County,2015,Non-Hisp Other Female,24,25,44,19,10,14,18,8,2,11,8,11,11,8,2,0,7,3,225
Howard County,2045,Non-Hisp White Male,1891,2132,2781,3075,2733,3179,2586,2315,3187,4233,4848,4047,3411,2657,2581,3025,3314,4390,56385
Howard County,2035,Total Female,10099,11016,11885,10768,8963,9532,11005,13002,13798,12391,12186,10672,10162,10344,10664,9175,7011,6892,189565
Calvert County,2025,Total Hispanic,365,377,444,496,360,284,271,245,258,242,215,240,162,96,80,72,36,48,4291
Charles County,2040,Total Non-Hisp Other,1794,1876,2020,1613,1229,1051,1675,1705,1653,1330,1063,981,953,868,805,656,535,111,21918
Frederick County,2040,Hispanic Male,2161,1997,1798,1625,1347,1320,1392,1345,1187,1068,1033,1049,1049,864,706,575,307,234,21057
Talbot County,2040,Non-Hisp Other Female,55,58,58,38,28,20,73,63,65,54,26,27,21,5,10,8,5,13,627
Dorchester Co,2025,Total,1946,2018,2120,2273,1868,1718,1944,2227,2361,2073,2173,2418,2796,2663,2091,1444,976,951,36060
Montgomery County,2010,Total Hispanic,15651,13333,12727,12372,13612,15935,15811,14379,12913,11260,8858,6289,4324,2860,2026,1368,955,725,165398
Dorchester Co,2020,Hispanic Female,106,125,121,99,74,80,82,82,39,30,30,29,12,18,18,14,10,1,970
Cecil County,2025,Non-Hisp Black Male,383,345,378,359,312,436,408,317,280,282,322,382,351,208,82,44,31,31,4951
Talbot County,2010,Total Non-Hispanic Black,249,298,271,345,295,258,226,240,300,384,383,387,312,267,197,156,108,102,4778
Washington County,2030,Total Non-Hispanic White,7354,7264,6953,6276,7185,7712,6815,6762,7434,7668,7218,7831,8775,9171,7861,6417,4495,4655,127846
Wicomico County,2045,Total Non-Hispanic White,3006,3253,3462,5416,5786,3747,2917,4308,4689,4729,4473,3915,3312,3488,3023,2890,2666,4001,69081
Howard County,2020,Non-Hisp Black Male,2451,2807,2976,2703,1948,1995,1922,2117,2060,2175,2181,1891,1431,878,595,432,334,240,31136
Washington County,2045,Non-Hisp White Female,4120,3910,4047,4118,3961,3755,3204,4127,4068,3758,3543,3952,4002,3551,3621,3941,3452,4698,69828
Charles County,2035,Non-Hisp White Female,1148,1193,1192,1207,1196,1166,1228,1363,1522,1451,1490,1376,1601,2026,2292,1872,1346,1455,26124
Charles County,2025,Non-Hisp Other Male,688,596,513,740,566,540,484,423,346,348,337,362,309,304,222,135,81,15,7009
Caroline County,2045,Total,3273,3364,3545,3122,2388,2180,2398,3003,3066,2409,2385,2802,2464,2200,1962,1801,1479,1421,45262
Worcester County,2030,Non-Hisp Black Female,264,229,250,240,310,286,295,283,249,216,211,165,207,333,291,252,172,140,4393
Montgomery County,2045,Non-Hisp Other Female,8167,8700,8818,8345,7661,8051,8883,9846,10553,10334,8673,8620,9455,9495,8903,7876,6063,7016,155459
Anne Arundel County,2015,Non-Hisp Other Female,1357,2053,1883,1635,1323,1267,1532,1585,1449,1242,1208,1097,931,669,485,260,175,87,20238
State of Maryland,2040,Non-Hisp White Female,68593,69338,71667,76273,75542,79289,78029,85174,86368,92070,93074,85778,74859,77382,86661,92788,78245,102140,1473270
Kent County,2010,Total Hispanic,102,65,57,75,111,98,94,84,64,44,44,24,18,9,3,8,4,3,907
Montgomery County,2025,Hispanic Female,9469,8825,9227,8881,9003,8676,8531,9270,9289,8819,7771,6551,5990,4494,3301,2072,1390,935,122494
Caroline County,2045,Total Non-Hispanic Black,498,493,576,502,431,352,325,404,445,357,417,440,456,461,407,348,315,280,7507
Howard County,2015,Non-Hisp White Female,3833,3753,5092,5193,4507,4785,4583,4307,5041,6518,8240,7793,6630,5360,3707,2421,1673,2054,85490
Baltimore City,2035,Total,36863,33963,33288,38395,44489,48597,47051,41211,48185,50470,44191,35396,28239,25419,25219,21007,13794,11542,627319
Harford County,2025,Total,15954,15256,15014,16073,14635,16381,17587,17165,16389,14431,15345,17406,19254,17134,13182,9804,6548,7312,264870
Allegany County,2040,Total Non_Hispanic Other,257,276,262,326,298,199,272,258,176,139,130,101,76,55,40,23,25,25,2938
Kent County,2045,Total Non-Hispanic White,609,768,740,1043,1007,663,637,714,784,658,1023,1370,1266,1403,1319,1423,1430,1630,18487
Anne Arundel County,2025,Hispanic Male,2521,2398,2546,2607,2430,1760,1818,2068,2388,2076,1602,1181,839,579,366,216,112,46,27553
Carroll County,2020,Total Female,4026,4277,4894,5509,4564,4239,4741,4746,4153,5366,6858,7645,6536,5519,4699,3345,2209,2929,86255
Allegany County,2040,Total Female,1528,1636,1740,2544,2317,1570,1947,2016,2056,2530,2016,2105,1821,2118,2069,2156,1743,1764,35676
State of Maryland,2020,Non-Hisp White Female,73751,71264,73559,80569,82233,96630,99699,94014,82626,88880,108002,126646,122397,105919,89139,64359,41938,59117,1560742
Calvert County,2045,Total,5044,5731,6481,6245,4945,4528,4946,5740,6949,7511,7237,6597,5308,4140,4116,5028,4896,5402,100844
Frederick County,2045,Total Non-Hispanic Black,3213,3062,3349,3275,2756,2561,2774,2894,3368,3402,3502,2569,2331,2079,1811,1586,1255,928,46715
Baltimore County,2045,Non-Hisp Black Female,11054,11384,11836,12216,12421,12304,12243,12524,11697,12161,12733,11157,10054,9486,8856,8191,6770,10075,197162
Howard County,2020,Total Male,10510,11404,11866,11762,10012,11810,10583,10528,9954,10219,11114,12057,10445,8033,6106,4124,2428,1877,164832
Charles County,2040,Non-Hisp White Female,1085,1086,1168,1143,1136,1155,1121,1178,1316,1488,1402,1433,1313,1474,1845,1985,1469,1673,24470
Garrett County,2035,Total,1612,1702,1788,1809,1526,1512,1738,1977,1862,1731,1928,1870,2059,2108,2091,1735,1181,1171,31400
Anne Arundel County,2015,Hispanic Male,2364,2192,1814,1634,1899,1961,2327,2016,1565,1193,909,635,392,240,140,99,61,30,21471
Wicomico County,2025,Hispanic Female,305,275,285,400,246,186,227,246,259,198,139,95,54,37,23,20,7,14,3016
Somerset County,2015,Total Non_Hispanic Other,70,106,74,88,119,48,33,33,39,36,46,50,29,30,17,15,8,4,845
Wicomico County,2025,Total Non_Hispanic Other,546,431,469,1007,825,627,466,495,396,412,392,340,330,239,176,111,41,17,7320
Calvert County,2010,Non-Hisp Other Male,221,237,260,173,92,76,69,89,115,116,91,62,49,28,24,15,7,1,1725
St. Mary's County,2040,Total Non-Hispanic White,6613,6797,6930,6287,5414,5875,6682,7453,7299,7400,7187,6469,5100,4607,4996,5031,3567,3593,107300
Baltimore County,2035,Non-Hisp Black Female,10168,10466,10890,10991,11334,11791,11101,11861,12349,10864,10118,9639,9520,9781,9005,7237,5163,6335,178613
Kent County,2015,Non-Hisp Other Female,4,41,32,39,36,17,13,8,7,10,18,17,14,15,5,3,2,3,284
Baltimore City,2020,Total Non_Hispanic Other,2046,1466,1774,2767,2986,2583,3604,3200,2614,2089,1562,1368,1206,904,637,380,180,103,31469
Harford County,2020,Non-Hisp Black Male,1229,1218,1475,1552,1094,1119,1119,1042,994,1175,1237,1249,963,625,400,169,92,119,16871
Baltimore City,2015,Total Non-Hispanic White,8666,4441,5049,6655,15767,26667,19335,12950,9714,9396,10017,10576,9849,8306,5882,3928,2869,3948,174015
Harford County,2015,Non-Hisp Black Male,1133,1287,1464,1465,1081,989,944,941,1116,1229,1172,1069,699,480,280,123,105,88,15665
Frederick County,2045,Non-Hisp Other Male,1688,1745,1717,1530,1017,741,784,1174,1112,1019,840,704,750,784,614,452,360,144,17175
Charles County,2040,Total,13936,14645,15877,15362,11824,11673,12565,13784,14937,14877,12599,11242,10404,11538,11982,10486,5905,4933,218569
Charles County,2025,Non-Hisp White Female,1314,1313,1369,1316,1347,1507,1676,1557,1592,1499,1772,2347,2765,2390,1991,1605,1098,950,29408
Howard County,2045,Total Non-Hispanic White,3695,4125,5402,5814,5085,5835,4706,4326,6045,8198,9363,7780,6791,5540,5721,7121,8185,11237,114969
Worcester County,2020,Total Female,1131,1127,1346,1343,1120,1270,1323,1286,1311,1458,1834,2445,2566,2246,2004,1586,1034,1040,27470
Garrett County,2020,Total Non-Hispanic Black,46,20,27,122,35,42,21,11,5,5,3,4,3,5,0,2,4,2,357
Carroll County,2040,Hispanic Male,374,391,391,406,376,376,378,340,326,375,330,296,204,99,95,79,21,39,4896
Worcester County,2025,Non-Hisp White Female,766,766,896,799,840,955,959,1071,1114,1076,1335,1884,2447,2250,1798,1550,1124,1022,22652
Charles County,2020,Non-Hisp Other Male,562,445,711,631,491,434,380,322,337,320,343,301,277,240,149,84,46,11,6084
Baltimore City,2035,Non-Hisp Black Female,11739,12033,11604,12928,12414,12705,11765,11912,13926,14195,12978,10818,9631,9996,11162,9719,6790,6111,202426
St. Mary's County,2020,Total Non-Hispanic Black,1211,1272,1334,1348,1144,1236,1137,1138,969,1111,1260,1351,1091,656,458,308,183,201,17408
Wicomico County,2035,Non-Hisp Black Female,1379,1424,1402,1505,1578,1387,1261,1286,1431,1202,1089,992,881,833,817,708,386,346,19907
Somerset County,2015,Non-Hisp White Male,258,225,302,336,415,412,424,408,445,434,588,593,600,498,391,244,140,133,6846
Caroline County,2040,Total Female,1585,1589,1634,1372,1064,1166,1436,1675,1406,1341,1376,1294,1197,1078,1153,1077,839,734,23016
Dorchester Co,2015,Total,1792,2055,1963,1683,1647,1831,1904,1764,1856,2101,2517,2659,2357,1923,1632,1020,740,807,32251
Dorchester Co,2010,Total Non-Hispanic White,985,1095,1102,1130,1042,1177,1046,1125,1383,1753,1877,1657,1698,1417,1106,799,604,585,21581
Howard County,2040,Non-Hisp White Male,2152,2701,3471,3385,2612,2689,2406,3301,4390,5069,4265,3720,3003,2934,3423,4161,3468,3797,60947
Howard County,2030,Non-Hisp Other Female,3249,3474,3595,3712,3356,3585,3575,3411,3412,3748,3544,3268,2803,2440,1844,1347,1016,908,52287
Howard County,2010,Total Non-Hispanic Black,3315,3914,4361,3860,2593,3127,3548,3926,4424,4394,3399,2310,2051,1488,980,675,426,359,49150
